rounded_longitude,rounded_latitude,collision_date,num_collisions
-74.2,40.5,2018-05-16,7
-74.2,40.5,2015-07-18,6
-74.2,40.5,2016-09-23,7
-74.2,40.5,2022-11-23,2
-74.2,40.5,2020-12-07,1
-74.2,40.5,2015-02-10,6
-74.2,40.5,2014-06-27,2
-74.2,40.5,2017-07-03,2
-74.2,40.5,2016-10-22,10
-74.2,40.5,2013-01-31,4
-74.2,40.5,2018-04-10,2
-74.2,40.5,2017-05-13,7
-74.2,40.5,2022-10-26,6
-74.2,40.5,2016-05-05,5
-74.2,40.5,2012-10-02,6
-74.2,40.5,2012-12-19,7
-74.2,40.5,2014-07-15,3
-74.2,40.5,2016-08-11,6
-74.2,40.5,2021-10-12,3
-74.2,40.5,2015-05-19,4
-74.2,40.5,2014-11-02,3
-74.2,40.5,2017-04-01,3
-74.2,40.5,2017-02-27,8
-74.2,40.5,2016-07-27,2
-74.2,40.5,2020-12-01,3
-74.2,40.5,2023-08-15,3
-74.2,40.5,2015-10-08,2
-74.2,40.5,2014-09-08,4
-74.2,40.5,2014-11-27,4
-74.2,40.5,2021-04-22,1
-74.2,40.5,2018-01-26,6
-74.2,40.5,2018-11-02,5
-74.2,40.5,2018-12-06,15
-74.2,40.5,2023-12-26,2
-74.2,40.5,2013-10-02,6
-74.2,40.5,2012-10-05,9
-74.2,40.5,2019-06-30,1
-74.2,40.5,2015-01-21,4
-74.2,40.5,2018-05-17,4
-74.2,40.5,2015-03-02,7
-74.2,40.5,2023-12-01,2
-74.2,40.5,2014-07-23,5
-74.2,40.5,2020-10-26,2
-74.2,40.5,2024-06-07,2
-74.2,40.5,2016-07-03,5
-74.2,40.5,2019-11-22,3
-74.2,40.5,2017-03-12,5
-74.2,40.5,2018-08-07,2
-74.2,40.5,2018-08-17,6
-74.2,40.5,2014-04-06,2
-74.2,40.5,2013-09-10,4
-74.2,40.5,2017-04-08,3
-74.2,40.5,2017-12-27,5
-74.2,40.5,2017-01-04,8
-74.2,40.5,2019-11-04,4
-74.2,40.5,2018-07-13,6
-74.2,40.5,2018-05-22,7
-74.2,40.5,2015-02-13,5
-74.2,40.5,2014-09-14,10
-74.2,40.5,2017-10-08,6
-74.2,40.5,2018-10-03,7
-74.2,40.5,2018-09-30,3
-74.2,40.5,2016-12-20,7
-74.2,40.5,2019-03-14,2
-74.2,40.5,2018-04-01,6
-74.2,40.5,2017-10-20,7
-74.2,40.5,2013-12-25,1
-74.2,40.5,2017-02-09,2
-74.2,40.5,2017-10-07,5
-74.2,40.5,2021-09-07,1
-74.2,40.5,2018-02-28,7
-74.2,40.5,2017-02-04,5
-74.2,40.5,2023-06-20,2
-74.2,40.5,2016-11-30,5
-74.2,40.5,2018-06-14,10
-74.2,40.5,2019-01-27,4
-74.2,40.5,2021-11-04,1
-74.2,40.5,2020-09-07,2
-74.2,40.5,2018-09-01,4
-74.2,40.5,2024-01-18,1
-74.2,40.5,2018-06-09,9
-74.2,40.5,2023-08-03,3
-74.2,40.5,2015-05-29,14
-74.2,40.5,2013-01-01,7
-74.2,40.5,2017-09-11,6
-74.2,40.5,2019-02-20,8
-74.2,40.5,2018-10-21,4
-74.2,40.5,2017-03-23,3
-74.2,40.5,2018-06-04,2
-74.2,40.5,2019-03-13,5
-74.2,40.5,2019-09-22,1
-74.2,40.5,2012-08-01,5
-74.2,40.5,2013-05-25,9
-74.2,40.5,2013-08-14,4
-74.2,40.5,2015-06-27,4
-74.2,40.5,2018-07-16,7
-74.2,40.5,2017-01-18,3
-74.2,40.5,2015-10-22,9
-74.2,40.5,2022-12-17,1
-74.2,40.5,2021-06-21,2
-74.2,40.5,2014-04-30,6
-74.2,40.5,2022-07-25,4
-74.2,40.5,2017-10-10,8
-74.2,40.5,2013-05-27,2
-74.2,40.5,2018-01-16,3
-74.2,40.5,2015-04-29,5
-74.2,40.5,2014-07-09,7
-74.2,40.5,2016-07-16,5
-74.2,40.5,2014-08-04,9
-74.2,40.5,2017-05-10,7
-74.2,40.5,2020-09-03,1
-74.2,40.5,2014-01-24,7
-74.2,40.5,2016-03-18,3
-74.2,40.5,2016-06-30,5
-74.2,40.5,2014-01-14,4
-74.2,40.5,2018-10-29,3
-74.2,40.5,2015-07-07,6
-74.2,40.5,2024-11-17,3
-74.2,40.5,2023-09-30,1
-74.2,40.5,2022-07-01,2
-74.2,40.5,2015-02-12,3
-74.2,40.5,2016-06-17,5
-74.2,40.5,2018-01-06,13
-74.2,40.5,2018-02-12,5
-74.2,40.5,2023-11-16,2
-74.2,40.5,2023-04-03,4
-74.2,40.5,2013-07-17,5
-74.2,40.5,2013-11-10,3
-74.2,40.5,2014-05-20,3
-74.2,40.5,2013-03-26,2
-74.2,40.5,2013-06-07,5
-74.2,40.5,2017-02-15,5
-74.2,40.5,2020-07-13,1
-74.2,40.5,2012-08-26,2
-74.2,40.5,2016-01-13,3
-74.2,40.5,2019-06-01,5
-74.2,40.5,2018-03-11,3
-74.2,40.5,2015-02-21,10
-74.2,40.5,2019-03-12,5
-74.2,40.5,2016-01-18,2
-74.2,40.5,2023-09-16,3
-74.2,40.5,2017-11-22,6
-74.2,40.5,2019-03-18,3
-74.2,40.5,2017-02-11,4
-74.2,40.5,2017-03-22,7
-74.2,40.5,2014-01-01,3
-74.2,40.5,2023-03-07,4
-74.2,40.5,2022-08-11,2
-74.2,40.5,2024-12-01,3
-74.2,40.5,2022-11-21,1
-74.2,40.5,2018-04-04,7
-74.2,40.5,2018-03-05,2
-74.2,40.5,2015-07-10,5
-74.2,40.5,2018-12-17,5
-74.2,40.5,2012-10-17,7
-74.2,40.5,2013-04-30,4
-74.2,40.5,2020-12-28,2
-74.2,40.5,2018-06-17,6
-74.2,40.5,2013-05-01,9
-74.2,40.5,2013-09-22,2
-74.2,40.5,2019-05-26,4
-74.2,40.5,2012-11-29,3
-74.2,40.5,2019-06-11,4
-74.2,40.5,2016-07-18,5
-74.2,40.5,2017-02-26,3
-74.2,40.5,2020-02-12,2
-74.2,40.5,2015-04-07,3
-74.2,40.5,2023-09-02,2
-74.2,40.5,2012-10-06,3
-74.2,40.5,2017-10-06,3
-74.2,40.5,2016-10-25,2
-74.2,40.5,2013-01-19,3
-74.2,40.5,2013-06-20,6
-74.2,40.5,2013-04-16,3
-74.2,40.5,2017-04-26,3
-74.2,40.5,2021-11-10,2
-74.2,40.5,2018-01-01,4
-74.2,40.5,2015-07-20,9
-74.2,40.5,2017-01-25,7
-74.2,40.5,2014-05-05,6
-74.2,40.5,2019-06-19,1
-74.2,40.5,2013-01-22,8
-74.2,40.5,2016-06-10,10
-74.2,40.5,2023-09-19,3
-74.2,40.5,2023-10-05,2
-74.2,40.5,2022-12-03,2
-74.2,40.5,2024-02-02,3
-74.2,40.5,2018-04-28,5
-74.2,40.5,2023-05-07,3
-74.2,40.5,2017-09-15,1
-74.2,40.5,2023-10-21,2
-74.2,40.5,2013-08-31,2
-74.2,40.5,2015-02-14,8
-74.2,40.5,2015-05-28,3
-74.2,40.5,2014-04-19,4
-74.2,40.5,2017-07-29,1
-74.2,40.5,2022-01-18,2
-74.2,40.5,2015-10-14,6
-74.2,40.5,2020-11-25,3
-74.2,40.5,2020-10-15,3
-74.2,40.5,2017-08-22,5
-74.2,40.5,2024-06-17,7
-74.2,40.5,2013-02-27,3
-74.2,40.5,2014-01-23,3
-74.2,40.5,2018-02-04,4
-74.2,40.5,2024-05-31,2
-74.2,40.5,2015-07-14,6
-74.2,40.5,2024-09-30,3
-74.2,40.5,2023-02-24,5
-74.2,40.5,2012-08-09,6
-74.2,40.5,2016-01-22,3
-74.2,40.5,2023-06-22,1
-74.2,40.5,2017-01-10,3
-74.2,40.5,2016-07-06,4
-74.2,40.5,2021-05-15,2
-74.2,40.5,2018-09-26,4
-74.2,40.5,2014-07-25,4
-74.2,40.5,2020-12-26,1
-74.2,40.5,2013-09-17,3
-74.2,40.5,2022-11-18,3
-74.2,40.5,2016-12-01,7
-74.2,40.5,2022-11-26,1
-74.2,40.5,2023-03-21,1
-74.2,40.5,2023-05-19,4
-74.2,40.5,2014-08-05,4
-74.2,40.5,2016-01-30,9
-74.2,40.5,2014-07-16,5
-74.2,40.5,2019-10-19,3
-74.2,40.5,2013-05-06,6
-74.2,40.5,2013-07-13,4
-74.2,40.5,2015-08-13,1
-74.2,40.5,2016-02-20,5
-74.2,40.5,2016-09-02,4
-74.2,40.5,2016-12-02,8
-74.2,40.5,2016-03-08,4
-74.2,40.5,2014-08-01,6
-74.2,40.5,2016-05-12,8
-74.2,40.5,2020-06-11,2
-74.2,40.5,2023-10-12,3
-74.2,40.5,2023-05-12,3
-74.2,40.5,2014-08-11,6
-74.2,40.5,2018-12-07,7
-74.2,40.5,2018-01-03,6
-74.2,40.5,2021-12-15,3
-74.2,40.5,2018-08-31,6
-74.2,40.5,2014-11-14,4
-74.2,40.5,2015-04-23,4
-74.2,40.5,2012-07-05,6
-74.2,40.5,2024-08-09,2
-74.2,40.5,2018-11-23,3
-74.2,40.5,2013-02-24,4
-74.2,40.5,2013-04-20,3
-74.2,40.5,2016-09-01,6
-74.2,40.5,2017-11-06,4
-74.2,40.5,2016-05-19,7
-74.2,40.5,2021-03-29,2
-74.2,40.5,2017-07-10,4
-74.2,40.5,2014-12-09,5
-74.2,40.5,2017-08-02,6
-74.2,40.5,2021-03-30,5
-74.2,40.5,2013-12-16,9
-74.2,40.5,2014-07-20,3
-74.2,40.5,2013-04-21,3
-74.2,40.5,2024-02-20,2
-74.2,40.5,2017-10-01,6
-74.2,40.5,2017-11-08,7
-74.2,40.5,2015-04-18,1
-74.2,40.5,2015-03-12,6
-74.2,40.5,2014-10-07,3
-74.2,40.5,2017-04-07,4
-74.2,40.5,2013-09-30,4
-74.2,40.5,2021-07-27,1
-74.2,40.5,2018-04-13,6
-74.2,40.5,2016-12-25,3
-74.2,40.5,2017-07-16,1
-74.2,40.5,2017-02-18,2
-74.2,40.5,2012-08-05,5
-74.2,40.5,2017-09-30,3
-74.2,40.5,2020-10-10,3
-74.2,40.5,2019-12-12,4
-74.2,40.5,2021-04-04,2
-74.2,40.5,2018-11-29,7
-74.2,40.5,2022-11-15,2
-74.2,40.5,2021-02-18,3
-74.2,40.5,2017-01-19,4
-74.2,40.5,2024-04-10,4
-74.2,40.5,2023-01-27,2
-74.2,40.5,2017-01-02,3
-74.2,40.5,2015-02-02,8
-74.2,40.5,2024-10-26,3
-74.2,40.5,2017-09-14,3
-74.2,40.5,2016-01-24,5
-74.2,40.5,2022-10-06,3
-74.2,40.5,2024-08-22,3
-74.2,40.5,2013-06-18,9
-74.2,40.5,2012-07-24,4
-74.2,40.5,2014-10-24,9
-74.2,40.5,2024-06-21,2
-74.2,40.5,2016-11-08,5
-74.2,40.5,2017-05-05,4
-74.2,40.5,2018-01-13,7
-74.2,40.5,2022-11-02,3
-74.2,40.5,2013-12-21,4
-74.2,40.5,2012-10-20,6
-74.2,40.5,2015-04-15,7
-74.2,40.5,2016-08-15,3
-74.2,40.5,2024-11-26,4
-74.2,40.5,2020-03-22,1
-74.2,40.5,2023-01-03,2
-74.2,40.5,2017-11-20,4
-74.2,40.5,2017-07-31,5
-74.2,40.5,2016-07-19,2
-74.2,40.5,2024-01-09,3
-74.2,40.5,2015-05-08,11
-74.2,40.5,2014-05-02,3
-74.2,40.5,2013-02-14,4
-74.2,40.5,2013-05-13,6
-74.2,40.5,2017-09-13,5
-74.2,40.5,2017-06-18,5
-74.2,40.5,2016-09-13,9
-74.2,40.5,2013-11-23,4
-74.2,40.5,2012-10-31,2
-74.2,40.5,2017-03-03,9
-74.2,40.5,2016-12-17,6
-74.2,40.5,2017-02-02,6
-74.2,40.5,2015-08-10,5
-74.2,40.5,2015-10-25,7
-74.2,40.5,2016-06-24,3
-74.2,40.5,2015-01-17,8
-74.2,40.5,2018-09-04,9
-74.2,40.5,2013-01-28,6
-74.2,40.5,2020-05-17,4
-74.2,40.5,2013-05-02,6
-74.2,40.5,2023-09-28,3
-74.2,40.5,2022-12-12,4
-74.2,40.5,2016-08-27,3
-74.2,40.5,2012-07-20,3
-74.2,40.5,2024-07-17,2
-74.2,40.5,2015-01-06,10
-74.2,40.5,2015-07-04,2
-74.2,40.5,2016-07-02,4
-74.2,40.5,2016-11-03,2
-74.2,40.5,2019-05-23,3
-74.2,40.5,2018-04-03,4
-74.2,40.5,2021-12-10,2
-74.2,40.5,2024-09-05,4
-74.2,40.5,2020-04-03,1
-74.2,40.5,2013-05-31,4
-74.2,40.5,2020-11-21,4
-74.2,40.5,2017-11-10,8
-74.2,40.5,2020-07-17,3
-74.2,40.5,2012-11-10,8
-74.2,40.5,2014-12-23,9
-74.2,40.5,2017-03-31,2
-74.2,40.5,2013-02-13,4
-74.2,40.5,2015-09-24,2
-74.2,40.5,2015-01-18,15
-74.2,40.5,2018-06-08,3
-74.2,40.5,2017-10-04,8
-74.2,40.5,2015-02-23,2
-74.2,40.5,2016-05-24,1
-74.2,40.5,2021-08-25,2
-74.2,40.5,2012-12-30,3
-74.2,40.5,2016-09-30,7
-74.2,40.5,2017-10-05,6
-74.2,40.5,2015-03-31,5
-74.2,40.5,2015-10-07,6
-74.2,40.5,2023-07-23,2
-74.2,40.5,2012-12-02,2
-74.2,40.5,2013-01-12,3
-74.2,40.5,2023-09-01,3
-74.2,40.5,2018-08-27,6
-74.2,40.5,2013-10-07,6
-74.2,40.5,2015-05-21,3
-74.2,40.5,2016-08-08,6
-74.2,40.5,2018-12-15,1
-74.2,40.5,2018-03-31,6
-74.2,40.5,2013-12-05,6
-74.2,40.5,2021-06-06,3
-74.2,40.5,2017-06-21,4
-74.2,40.5,2018-12-09,3
-74.2,40.5,2020-12-19,1
-74.2,40.5,2017-05-09,9
-74.2,40.5,2014-06-06,3
-74.2,40.5,2018-03-26,4
-74.2,40.5,2015-09-03,6
-74.2,40.5,2018-06-28,7
-74.2,40.5,2016-12-29,8
-74.2,40.5,2013-12-12,7
-74.2,40.5,2016-01-20,4
-74.2,40.5,2014-06-28,5
-74.2,40.5,2012-11-21,1
-74.2,40.5,2023-12-18,4
-74.2,40.5,2019-08-10,4
-74.2,40.5,2024-10-25,3
-74.2,40.5,2024-06-18,3
-74.2,40.5,2016-02-04,4
-74.2,40.5,2020-09-21,3
-74.2,40.5,2014-02-15,5
-74.2,40.5,2021-05-17,5
-74.2,40.5,2016-01-14,5
-74.2,40.5,2015-12-22,8
-74.2,40.5,2023-12-13,2
-74.2,40.5,2017-11-15,7
-74.2,40.5,2021-05-13,1
-74.2,40.5,2022-07-23,1
-74.2,40.5,2014-04-25,7
-74.2,40.5,2015-10-15,1
-74.2,40.5,2017-05-27,1
-74.2,40.5,2015-08-04,4
-74.2,40.5,2016-10-05,7
-74.2,40.5,2017-04-18,10
-74.2,40.5,2018-12-02,5
-74.2,40.5,2012-07-13,4
-74.2,40.5,2016-10-18,6
-74.2,40.5,2015-03-21,4
-74.2,40.5,2012-12-18,4
-74.2,40.5,2012-11-11,5
-74.2,40.5,2018-06-07,6
-74.2,40.5,2023-09-22,1
-74.2,40.5,2013-07-10,2
-74.2,40.5,2014-02-20,7
-74.2,40.5,2015-04-14,4
-74.2,40.5,2018-09-17,6
-74.2,40.5,2016-08-05,6
-74.2,40.5,2024-03-01,2
-74.2,40.5,2018-10-24,4
-74.2,40.5,2022-10-31,4
-74.2,40.5,2015-01-15,4
-74.2,40.5,2013-01-29,6
-74.2,40.5,2015-11-13,2
-74.2,40.5,2023-10-19,3
-74.2,40.5,2019-07-24,2
-74.2,40.5,2015-09-09,8
-74.2,40.5,2015-10-09,12
-74.2,40.5,2018-10-30,12
-74.2,40.5,2014-04-09,3
-74.2,40.5,2023-04-29,5
-74.2,40.5,2022-12-20,2
-74.2,40.5,2017-07-05,9
-74.2,40.5,2013-07-18,7
-74.2,40.5,2021-01-31,5
-74.2,40.5,2022-09-28,4
-74.2,40.5,2019-04-05,3
-74.2,40.5,2018-09-18,7
-74.2,40.5,2018-03-22,4
-74.2,40.5,2015-08-12,2
-74.2,40.5,2018-04-02,6
-74.2,40.5,2022-12-28,1
-74.2,40.5,2024-08-30,1
-74.2,40.5,2012-09-08,5
-74.2,40.5,2023-07-12,2
-74.2,40.5,2013-10-30,6
-74.2,40.5,2022-08-31,1
-74.2,40.5,2014-09-11,6
-74.2,40.5,2018-02-06,7
-74.2,40.5,2018-09-23,6
-74.2,40.5,2021-06-11,2
-74.2,40.5,2018-12-03,6
-74.2,40.5,2017-03-08,3
-74.2,40.5,2019-07-30,3
-74.2,40.5,2018-02-23,5
-74.2,40.5,2018-06-22,5
-74.2,40.5,2017-10-15,2
-74.2,40.5,2017-07-24,7
-74.2,40.5,2017-04-29,5
-74.2,40.5,2020-07-28,1
-74.2,40.5,2014-12-27,3
-74.2,40.5,2017-12-14,4
-74.2,40.5,2015-08-17,6
-74.2,40.5,2014-12-02,3
-74.2,40.5,2019-10-06,1
-74.2,40.5,2017-10-25,5
-74.2,40.5,2013-07-28,2
-74.2,40.5,2023-07-02,2
-74.2,40.5,2017-08-17,4
-74.2,40.5,2019-11-14,1
-74.2,40.5,2019-03-19,2
-74.2,40.5,2017-03-25,3
-74.2,40.5,2024-11-11,2
-74.2,40.5,2019-09-13,3
-74.2,40.5,2017-10-22,5
-74.2,40.5,2017-04-20,6
-74.2,40.5,2019-03-04,9
-74.2,40.5,2020-12-12,2
-74.2,40.5,2017-08-19,9
-74.2,40.5,2021-06-26,2
-74.2,40.5,2019-03-21,2
